id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
1769,5.5,0.0,40.5,2025-02-25 11:46:11,0
1768,7.4,0.0,39.2,2025-02-25 11:16:10,0
1767,8.6,0.0,37.1,2025-02-25 10:46:09,1
1766,10.3,0.0,34.3,2025-02-25 10:16:08,1
1765,10.9,0.0,30.1,2025-02-25 09:46:08,1
1764,30.2,0.0,5.5,2025-02-25 09:16:08,1
1763,38.4,0.0,0.6,2025-02-25 08:46:07,0
1762,37.2,0.0,-0.9,2025-02-25 08:16:06,0
1761,37.7,0.0,-0.6,2025-02-25 07:46:05,0
1760,35.2,0.0,-0.4,2025-02-25 07:16:05,0
1759,36.1,0.0,-0.1,2025-02-25 06:46:04,0
1758,33.9,0.0,-0.5,2025-02-25 06:16:03,0
1757,33.1,0.0,1.7,2025-02-25 05:46:03,0
1756,31.4,0.0,2.1,2025-02-25 05:16:02,0
1755,28.8,0.0,3.1,2025-02-25 04:46:02,0
1754,25.7,0.0,5.7,2025-02-25 04:16:02,0
1753,28.8,0.0,5.0,2025-02-25 03:46:02,0
1752,24.0,0.0,5.5,2025-02-25 03:16:01,0
1751,23.1,0.0,7.7,2025-02-25 02:46:01,0
1750,27.9,0.0,5.8,2025-02-25 02:16:01,0
1749,24.1,0.0,5.7,2025-02-25 01:46:00,0
1748,16.7,0.0,10.0,2025-02-25 01:16:00,0
1747,27.7,0.0,5.0,2025-02-25 00:45:59,0
1746,24.1,0.0,7.5,2025-02-25 00:15:59,0
1745,20.4,0.0,9.2,2025-02-24 23:45:58,0
1744,23.4,0.0,9.3,2025-02-24 23:15:58,0
1743,20.1,0.0,9.4,2025-02-24 22:45:58,0
1742,16.7,0.0,11.8,2025-02-24 22:15:57,0
1741,15.2,0.0,12.7,2025-02-24 21:45:56,0
1740,15.8,0.0,14.6,2025-02-24 21:15:55,0
1739,10.5,0.0,17.6,2025-02-24 20:45:55,0
1738,11.2,0.0,19.1,2025-02-24 20:15:54,0
1737,7.9,0.0,23.8,2025-02-24 19:45:54,0
1736,8.4,0.0,26.6,2025-02-24 19:15:54,0
1735,6.9,0.0,28.8,2025-02-24 18:45:54,0
1734,7.0,0.0,29.9,2025-02-24 18:15:54,0
1733,7.2,0.0,31.9,2025-02-24 17:45:54,0
1732,5.7,0.0,44.0,2025-02-24 17:15:54,0
1731,4.8,0.0,44.5,2025-02-24 16:45:53,0
1730,5.6,0.0,42.4,2025-02-24 16:15:52,0
1729,6.3,0.0,41.4,2025-02-24 15:45:52,0
1728,6.6,0.0,36.7,2025-02-24 15:15:51,0
1727,8.0,0.0,39.1,2025-02-24 14:45:50,0
1726,5.8,0.0,39.4,2025-02-24 14:15:50,0
1725,6.2,0.0,40.7,2025-02-24 13:45:50,0
1724,6.5,0.0,39.5,2025-02-24 13:15:49,0
1723,7.0,0.0,42.0,2025-02-24 12:45:48,0
1722,6.2,0.0,37.2,2025-02-24 12:15:47,0
1721,7.3,0.0,40.1,2025-02-24 11:45:47,0
1720,8.3,0.0,39.8,2025-02-24 11:15:46,0
1719,10.0,0.0,39.5,2025-02-24 10:45:46,1
1718,12.1,0.0,33.2,2025-02-24 10:15:45,1
1717,14.9,0.0,31.2,2025-02-24 09:45:44,1
1716,48.4,0.0,7.6,2025-02-24 09:15:44,1
1715,60.2,0.0,2.7,2025-02-24 08:45:44,0
1714,63.0,0.0,2.2,2025-02-24 08:15:44,0
1713,60.8,0.0,1.6,2025-02-24 07:45:44,0
1712,60.7,0.0,2.7,2025-02-24 07:15:44,0
1711,58.1,0.0,3.0,2025-02-24 06:45:44,0
1710,53.1,0.0,4.3,2025-02-24 06:15:44,0
